model,params,fold,mse,rmse,mae,r2,n_features,time_sec,config_id
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",5,0.026791181022705206,0.163680117982317,0.10481292040296768,0.43575763564437486,499,5.198161099997378,23
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",1,0.014591748292531476,0.12079630910144348,0.0953557239192066,0.629269729108773,493,5.229793399998016,24
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",2,0.0128459932741526,0.11334016619959845,0.09002675095480678,0.7130792595497923,499,5.264407200000278,24
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",3,0.015420964326937464,0.1241811754129323,0.0970161154888205,0.6530792559765959,499,5.244835600002261,24
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",4,0.014169981290800108,0.11903773053448267,0.09283916752498986,0.6619483344566457,499,5.251753699998517,24
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",5,0.027053745951372554,0.164480229667193,0.10559984924826742,0.43022782133635407,499,5.208472000002075,24
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",1,0.013801296618944104,0.1174789198918006,0.08795135049415777,0.6493526113789846,493,5.065457500000775,25
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",2,0.01235864146018182,0.11116942682312354,0.08962254827614421,0.7239644702407868,499,5.099736999996821,25
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",3,0.014001738768003619,0.11832894306974781,0.08895993886453703,0.6850071417043584,499,5.103066899999249,25
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",4,0.013901998426099748,0.1179067361353869,0.09009156927215162,0.6683415718145421,499,5.106050000002142,25
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",5,0.025655540831393486,0.16017347105995264,0.09983368682111572,0.4596750697455423,499,5.099862400002166,25
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",1,0.013672737640226565,0.11693048208327274,0.08735633145217232,0.6526188892813964,493,5.120778299999074,26
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",2,0.012265444831367532,0.11074946876336488,0.08938478679112996,0.7260460567071803,499,5.254794699998456,26
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",3,0.013892196700693565,0.11786516321922082,0.08895008876617831,0.6874714762743233,499,5.2044859000016,26
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",4,0.013751572560922905,0.11726709922618068,0.0897552512132965,0.6719302649271327,499,5.298085299997183,26
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",5,0.02546081440146848,0.1595644521861573,0.09966524752995856,0.46377615439464015,499,5.24573220000093,26
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",1,0.014079410315228982,0.11865669098381676,0.0902212029681647,0.642286620114934,493,5.04661390000183,27
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",2,0.012780742724788786,0.11305194701900886,0.09125812842576944,0.7145366584086192,499,5.100342900001124,27
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",3,0.01456370891522124,0.12068019272118038,0.09155059555520825,0.6723646702312144,499,5.2641638000022795,27
ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",4,0.014462105337037989,0.12025849382491861,0.09267504102446011,0.6549791636194129,499,5.086778699998831,27
